	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15	Cell 16	Cell 17	Cell 18	Cell 19	Cell 20	Cell 21	Cell 22	Cell 23	Cell 24	Cell 25	Cell 26	Cell 27	Cell 28	Cell 29	Cell 30	Cell 31	Cell 32	Cell 33	Cell 34	Cell 35	Cell 36	Cell 37	Cell 38	Cell 39	Cell 40	Cell 41	Cell 42	Cell 43	Cell 44	Cell 45	Cell 46	Cell 47	Cell 48	Cell 49	Cell 50	Cell 51	Cell 52	Cell 53	Cell 54	Cell 55	Cell 56	Cell 57	Cell 58	Cell 59	Cell 60	Cell 61	Cell 62	Cell 63	Cell 64	Cell 65	Cell 66	Cell 67	Cell 68	Cell 69	Cell 70	Cell 71	Cell 72	Cell 73	Cell 74	Cell 75	Cell 76	Cell 77	Cell 78	Cell 79	Cell 80	Cell 81
Slc35a4	2.1508	1.4527	2.7537	1.3483	2.7491	1.4723	2.0529	2.24	1.1527	1.1039	1.0091	2.2723	2.4057	1.0233	2.6155	3.2749	2.4656	2.6932	1.8603	3.4121	1.1027	2.7396	3.5656	2.3534	1.7873	2.5545	2.6118	0.91849	1.72	1.4077	2.3708	1.332	2.8141	3.0627	1.9788	1.1693	4.2217	3.6367	1.5765	4.2206	2.5669	3.3037	1.0732	3.1547	0.7428	3.6488	2.8233	2.7196	2.1186	1.9078	1.7392	2.2446	1.6835	2.7846	1.1054	2.1313	3.0181	0.87427	2.2415	3.1072	2.5236	2.8205	0.76662	2.9275	1.1768	1.3849	2.9039	3.139	3.2452	1.2992	2.5173	1.6038	2.6256	3.5892	2.4922	1.413	1.8958	4.0323	1.0749	2.7581	1.6112
Rpgrip1l	1.3246	-0.0033666	-0.0033666	-0.0033666	0.25838	0.095174	0.10122	3.5802	2.5604	0.27288	1.2039	0.096871	-0.0033666	-0.0033666	-0.0033666	-0.0033666	-0.0033666	-0.0033666	0.51902	-0.0033666	1.3352	-0.0033666	1.9925	-0.0033666	0.13473	0.76788	-0.0033666	-0.0033666	2.0373	-0.0033666	-0.0033666	0.61064	0.6796	-0.0033666	-0.0033666	-0.0033666	-0.0033666	-0.0033666	2.5378	-0.0033666	-0.0033666	-0.0033666	-0.0033666	1.6687	1.1586	0.19112	-0.0033666	1.2767	-0.0033666	-0.0033666	2.9766	-0.0033666	2.5809	-0.0033666	3.2455	0.028502	0.55151	-0.0033666	0.38529	-0.0033666	0.81323	0.065617	-0.0033666	-0.0033666	-0.0033666	0.27692	0.79128	-0.0033666	0.83722	0.49505	0.74612	0.63761	-0.0033666	-0.0033666	0.25206	-0.0033666	-0.0033666	0.30699	-0.0033666	2.3791	2.1321
Wdr3	0.91169	1.102	2.1374	3.8078	0.41019	2.7176	3.3096	1.8351	0.98829	-0.0031216	2.1315	1.8599	2.0844	0.9978	1.9423	1.228	0.85703	2.2381	2.2525	1.9237	3.0707	2.7752	1.1991	2.4605	1.947	2.7486	1.8658	2.3337	0.82538	1.0728	1.6587	1.8786	1.3633	2.6294	3.1131	0.19509	1.3254	0.72942	2.7822	2.2344	2.5691	2.3042	2.4037	3.1976	2.1689	0.59371	2.8099	1.8269	1.7383	0.91593	3.628	-0.39522	3.1057	3.1044	0.93307	1.6481	0.85697	3.9107	0.10754	2.2782	2.2386	1.4447	0.33985	0.75215	2.4524	0.95535	2.6415	3.2133	1.9616	1.2271	2.8802	2.9807	2.8598	2.2309	0.82859	1.8288	2.0521	1.1174	2.5264	3.4801	0.006602
Noc4l	3.554	1.8594	2.7741	2.0674	1.4146	2.1132	2.3258	0.76678	2.0561	0.82758	1.8683	2.2539	2.4578	1.7635	1.2497	3.0663	1.5771	0.80801	1.0446	4.0567	3.2046	2.933	1.4351	2.2621	2.2803	2.8303	1.9481	2.6745	1.6145	1.6773	2.0459	3.2621	1.8122	2.8522	2.9968	1.7288	3.3077	1.9739	2.5976	1.8217	2.4514	2.8876	2.6319	3.5315	1.2027	3.5502	1.9856	2.7344	2.6402	2.767	2.8467	3.1152	2.514	2.3444	1.9391	2.1507	3.0322	1.7091	1.3162	1.3802	3.125	1.9155	1.4669	1.2778	1.232	1.6612	2.5355	2.5759	2.43	1.7222	2.7407	2.3798	3.0754	1.3509	3.1829	1.6155	2.9549	2.0474	1.9358	2.3087	2.4944
Ptprf	-0.0036333	-0.0036333	3.4131	0.3014	-0.0036333	-0.0036333	-0.0036333	0.38617	0.47328	-0.0036333	-0.0036333	0.24673	0.59538	0.28908	-0.0036333	1.3915	-0.0036333	-0.0036333	-0.0036333	-0.0036333	2.2	-0.0036333	0.33046	-0.0036333	-0.0036333	0.76761	0.61901	0.80065	2.3496	-0.0036333	1.0538	0.24562	0.93388	0.56652	-0.0036333	1.784	0.21549	-0.0036333	0.57279	-0.0036333	-0.0036333	0.54428	2.0287	2.9706	0.1767	0.78264	0.19957	-0.0036333	-0.0036333	-0.0036333	-0.0036333	-0.0036333	-0.0036333	0.43532	0.97019	0.028235	0.46464	-0.0036333	-0.0036333	1.6712	-0.0036333	0.06535	3.2997	0.40152	3.535	0.27665	2.2375	1.3078	-0.0036333	2.2478	0.51526	0.12214	-0.0036333	-0.0036333	-0.0036333	3.4259	-0.0036333	0.12583	-0.0036333	-0.0036333	-0.0036333
Lpp	1.0993	1.1203	2.1534	4.3644	3.788	1.5535	1.4914	2.5567	3.0549	3.0452	3.0846	1.5023	1.0757	3.4434	2.6058	3.4645	3.0321	2.8247	2.1106	2.3089	1.5309	3.3403	3.7607	1.6889	3.7321	2.351	2.6429	3.0771	0.18856	3.6565	2.0497	1.2447	3.769	2.2794	0.32683	2.2363	0.79219	0.27806	2.5736	2.5443	2.9645	1.4606	1.7116	2.3718	0.017903	1.6965	2.6244	0.68896	1.7361	3.1862	3.4225	2.2354	1.0052	2.7168	2.5978	1.7614	2.7456	2.872	3.3547	3.3068	2.6259	3.2156	2.9314	2.5387	2.6732	3.6936	1.636	0.45433	2.5202	1.1311	2.9277	3.3602	1.0654	3.5312	1.8323	2.4136	1.6571	0.9501	3.1998	3.246	1.0823
Mif	4.1839	4.1072	3.8002	4.1208	3.8878	3.825	4.1565	3.5708	4.118	3.7693	4.0049	2.0498	4.0852	4.1605	3.6179	3.8711	4.1657	3.6926	3.63	3.7907	4.0246	4.018	4.371	3.8571	4.01	3.5042	3.9585	3.5992	3.8346	3.9584	3.5069	3.8817	4.4547	3.4305	3.909	4.2555	3.9444	4.0451	3.7104	4.121	3.7918	4.2559	3.6932	4.0076	3.6813	3.5638	3.9346	3.6007	3.6136	3.7508	4.0829	3.7038	4.9067	4.0561	3.5611	2.6172	3.7653	4.34	4.0952	4.3466	3.7821	3.8464	4.0708	4.0587	4.0419	4.1331	3.5548	3.552	4.1625	3.9126	3.5265	3.5389	3.7077	4.1843	4.2415	3.9262	1.9164	3.8694	3.9292	4.5508	3.7501
Fbxl8	0.26255	1.0095	0.261	0.56075	0.41903	0.15841	0.23387	2.5936	1.1467	3.4628	0.69858	0.40744	0.050292	2.3786	3.4384	3.1081	0.024068	0.39913	2.9042	0.069558	0.59359	-0.044449	0.0076357	-0.068275	2.4962	-0.14818	-0.060938	3.313	0.26141	0.10965	1.792	0.22769	0.049621	-0.14481	0.31351	3.3677	0.51309	-0.038406	-0.11747	0.27364	0.82696	2.5517	2.3738	2.5439	0.73335	0.23766	0.16794	1.1307	3.5531	-0.094122	0.83985	0.28368	0.057122	0.55987	-0.13444	0.18958	-0.020918	0.30974	0.35207	0.50715	-0.10182	0.10061	0.6772	0.037051	-0.049042	0.075509	-0.105	2.8956	0.41646	0.24264	-0.11979	0.22817	-0.077414	2.3759	0.044791	0.6094	0.19366	0.24165	0.99229	2.8591	0.24854
Galnt9	1.1676	-0.0015869	0.79263	2.3959	-0.0015869	-0.0015869	-0.0015869	-0.0015869	3.5194	-0.0015869	0.49566	0.098651	-0.0015869	-0.0015869	-0.0015869	2.3494	-0.0015869	-0.0015869	0.33341	-0.0015869	-0.0015869	-0.0015869	3.0399	0.32979	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	0.1929	-0.0015869	0.35575	-0.0015869	-0.0015869	-0.0015869	3.3549	-0.0015869	-0.0015869	1.0602	0.11394	0.62554	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869	0.50603	-0.0015869	-0.0015869	-0.0015869	-0.0015869	-0.0015869
Gstt2	3.3609	1.3941	2.5758	4.2414	3.2698	3.402	3.2615	3.0913	3.8715	3.1848	2.8215	1.8775	0.93562	3.6876	2.6644	3.681	2.4632	2.5088	3.1558	3.3436	2.7159	3.3897	4.1703	3.2611	3.3292	2.5454	2.8141	2.192	3.5944	1.9876	2.6892	3.5547	2.9325	2.6851	3.0886	3.9511	2.3321	2.6906	2.8884	3.7722	3.1203	2.9819	2.1217	3.5071	3.358	1.2604	2.6074	3.0041	2.5075	2.7666	3.4182	2.9278	4.4825	3.7146	2.5661	1.7599	2.9704	3.2633	3.8225	3.6784	3.1645	1.2069	3.6738	3.5305	3.0131	4.0369	2.5486	1.4702	3.6498	1.4073	2.9668	1.975	2.602	3.4983	1.6489	2.5703	2.303	4.1595	3.9669	3.8421	2.6056
Fem1c	2.1119	2.7123	0.51909	0.82895	1.4604	1.048	0.85222	1.6792	0.14247	-0.14241	-0.094839	0.78527	1.8731	0.49465	0.65682	-0.1156	2.4003	2.9264	1.9677	1.7331	1.0311	1.7778	0.045842	0.36899	2.0057	0.98842	1.3522	2.9925	0.11361	3.2669	0.25936	0.94972	0.22543	-0.036056	2.0777	1.3363	1.694	0.37935	2.544	1.2385	2.2367	1.0666	2.3312	2.7534	1.6805	0.9416	0.77671	2.5971	1.8148	0.0031988	2.753	-0.012068	1.6268	0.015864	2.5062	1.5539	1.3879	0.36014	1.6337	0.3842	3.0218	0.6713	-0.010236	1.7747	2.8684	0.78582	2.278	0.46295	0.36062	2.8417	1.6811	0.57695	1.5471	1.1497	2.3836	1.3245	1.4671	0.72225	0.50388	0.86933	2.6745
Ctdp1	0.41272	-0.0032539	-0.0032539	-0.0032539	-0.0032539	-0.0032539	0.069172	-0.0032539	-0.0032539	-0.0032539	-0.0032539	0.17846	2.7868	0.28946	-0.0032539	-0.0032539	-0.0032539	2.4533	2.5408	-0.0032539	0.45505	3.2469	3.2161	0.32812	-0.0032539	3.0665	-0.0032539	0.80103	-0.0032539	-0.0032539	2.1376	-0.0032539	-0.0032539	3.5533	-0.0032539	1.171	-0.0032539	-0.0032539	-0.0032539	2.7289	-0.0032539	-0.0032539	-0.0032539	-0.0032539	2.0074	0.19123	-0.0032539	-0.0032539	-0.0032539	-0.0032539	1.4206	-0.0032539	-0.0032539	-0.0032539	2.6067	0.028614	1.1635	-0.0032539	0.3854	-0.0032539	0.81334	0.06573	-0.0032539	2.3932	-0.0032539	-0.0032539	-0.0032539	0.067321	-0.0032539	-0.0032539	-0.0032539	-0.0032539	-0.0032539	1.5404	-0.0032539	-0.0032539	-0.0032539	-0.0032539	-0.0032539	-0.0032539	0.34929
Dnm2	1.9891	0.94988	3.0273	1.8303	2.8204	1.5048	1.9716	2.8429	2.6496	1.4382	3.6986	2.8174	3.582	3.6378	2.8374	2.4988	2.7384	1.8107	3.2786	2.2733	3.292	1.9424	3.0409	2.1637	1.6135	2.8267	2.773	3.1233	3.2066	3.5939	2.902	2.3156	3.1407	2.9441	2.6785	3.1813	3.2042	0.88107	2.3778	2.6195	2.7854	3.5686	2.8644	2.6637	1.2033	2.6143	3.2745	1.47	2.9442	2.2905	3.6115	1.9317	2.3941	2.651	2.4235	2.1818	1.9877	3.404	0.20641	3.2118	3.2791	2.5391	3.2049	3.5183	2.3146	2.7894	2.225	3.3324	3.3599	3.0566	1.5604	3.2123	3.4477	0.82168	3.0358	2.1055	1.215	2.5407	3.5546	3.3033	1.6146
Chst2	1.6128	0.93341	3.149	1.5014	3.1286	1.269	1.5473	0.94091	0.72253	0.041361	0.56918	1.6498	0.68877	0.81236	-0.95479	0.14841	2.6476	2.5943	2.8504	2.237	2.8155	0.4266	2.5925	0.052629	0.88648	-1.0415	0.67562	-0.8329	0.58806	0.8186	2.062	1.5272	1.196	3.268	2.9818	0.42451	1.1566	0.091669	0.15079	0.73065	2.5547	0.61427	2.2052	1.2682	1.5911	3.2968	-0.023647	2.7216	0.31227	-0.25889	3.3647	1.2109	1.3407	0.98179	2.6784	1.4568	0.092814	0.50859	2.9745	3.4129	0.89791	1.062	3.4738	0.29485	1.196	0.85259	2.6195	0.80833	0.91136	1.0571	2.1915	1.4397	1.6565	4.0234	0.60612	-0.16905	1.5276	1.2748	2.1231	0.75303	1.5334
Map2k4	2.3422	1.1891	2.3765	1.2295	2.9781	1.2355	2.0141	1.9291	2.4026	2.6778	2.15	2.0008	2.0553	3.8572	1.354	0.13504	3.9664	2.8962	1.5493	1.4299	1.561	1.3578	2.7774	1.8101	0.78909	2.2333	2.9186	2.8008	1.3368	2.6449	0.72036	1.5149	2.086	1.5558	2.7588	0.17353	2.7017	1.2912	1.9755	0.37068	2.0525	0.49213	1.8471	0.92123	1.0375	0.35613	-0.039169	1.782	1.9547	2.3187	2.3743	1.3813	1.4339	2.1155	1.3021	1.659	1.3689	3.5222	1.8936	3.0109	2.9429	0.86341	3.3076	2.5391	2.308	0.60286	1.7316	1.973	1.8058	1.9631	0.68251	1.6373	1.6475	3.2314	1.8826	0.7042	2.2504	1.7857	0.90205	2.2106	2.3643
Rtp4	1.5356	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	3.1477	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	0.031508	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051	-0.00036051
Usp37	1.1021	2.7653	2.2385	4.3707	3.6856	1.3646	2.0133	2.6073	4.1223	2.8156	1.9724	2.2259	1.3899	1.5108	3.0583	1.989	3.2312	2.0944	2.7594	3.3525	2.842	2.0071	3.5987	0.65798	3.4208	2.2748	3.2093	1.9999	1.5308	1.8011	2.9424	3.1284	1.3244	2.6856	2.4495	3.8658	3.5947	1.6165	3.0366	2.0847	3.3782	2.4377	2.0996	2.7871	2.0131	1.4331	1.9789	2.2531	2.2822	1.0058	3.4731	0.74987	1.6172	3.5633	3.2268	2.0549	3.5416	2.8915	3.3502	3.5738	2.8454	2.7775	2.1192	0.69975	-0.33756	0.85726	0.90115	2.8215	0.7136	0.95225	0.10197	2.6436	3.311	2.3686	0.60685	0.86545	2.2111	1.9458	3.1285	0.75708	1.746
Ipo13	0.062042	0.76172	-0.26506	1.2669	2.9211	1.0539	1.1778	2.349	0.67682	0.9098	-0.12705	1.0477	3.2768	0.57454	0.7753	2.8718	0.47655	2.2105	-0.24238	0.43169	3.3701	0.58371	3.1805	0.13707	1.4335	1.5662	3.6146	0.96657	0.7543	1.3065	2.5708	0.77504	3.1814	2.3548	3.0315	2.8114	0.55752	0.13665	-0.094053	0.93843	1.081	0.50726	0.86533	1.2128	-0.13652	0.2762	3.0994	1.071	1.7035	2.8692	-0.13102	1.9373	0.3584	2.4295	-0.77048	1.139	1.8889	0.2908	2.1524	-0.223	1.5195	0.61471	2.9017	0.64527	0.88607	0.74704	1.9734	0.32158	0.27691	1.8172	-0.68414	0.75099	1.7745	1.7328	0.28573	-0.13881	1.1631	1.7308	4.2123	0.90559	-0.23858
Atp6v0b	3.0384	3.8556	3.0697	3.9058	4.1245	2.5095	3.3542	2.9896	3.5434	1.6074	3.7488	1.8055	3.6698	1.7625	2.5996	3.4612	2.5112	2.902	3.5634	2.1728	3.1698	3.7272	3.7415	2.913	3.5238	2.696	2.9602	3.421	2.4218	3.9807	3.2235	2.3434	3.8086	2.6697	3.7245	4.1092	3.5887	2.9303	3.3812	3.6229	3.3088	3.4468	3.2417	3.0323	3.2178	1.4644	3.5474	2.9271	3.2038	3.0602	3.4102	3.2299	3.2176	3.3923	2.5424	1.5941	3.5265	3.9498	3.5651	3.8462	2.9119	3.6146	3.7876	3.7926	3.4423	3.8094	3.1088	1.4553	3.9896	3.5586	2.4973	3.6183	3.2116	3.1485	2.9253	3.4975	1.9776	3.4694	3.9578	3.7746	3.0738
Trappc8	1.0601	1.0859	-0.033843	0.041018	2.5914	0.088721	0.27363	0.66335	1.6907	2.9256	-0.019982	0.49647	0.49879	0.78696	0.53176	-0.022855	1.6295	-0.084857	0.49082	2.5783	0.40388	0.35071	0.75169	3.5107	0.19219	2.4666	1.1483	2.5851	3.0764	2.0375	1.7558	1.7037	0.21271	0.47942	3.4196	2.0688	1.3333	3.5889	1.1	0.25021	2.5765	-0.050257	3.4821	1.9661	2.4358	1.6758	-0.025905	1.2796	3.2836	1.4676	-0.020381	2.6403	0.028772	1.12	3.118	2.4555	2.0177	0.56819	-0.026686	3.394	-0.065298	1.976	1.2054	1.2359	-0.034061	0.90798	1.9525	0.71563	1.9738	2.9421	0.5733	1.5273	-0.050853	2.2862	2.3495	-0.021163	0.5259	0.83159	0.062861	0.036791	-0.066588
Frrs1	0.042025	0.52747	2.5291	0.33225	1.7039	0.84069	0.81613	-0.41455	0.13767	-0.13465	-0.089172	2.345	0.99516	0.19451	0.47744	2.2824	0.60592	0.58249	2.2821	1.1383	1.6114	0.21439	0.045306	3.1193	0.42261	2.7004	0.63447	-0.47356	0.11009	0.46241	-0.76138	0.61303	0.40535	1.8892	3.1513	1.0148	1.1089	0.51912	1.975	1.9061	2.0839	0.63744	0.93054	1.801	0.39199	0.3851	0.073111	1.5307	2.739	-0.37076	1.0934	0.44656	1.4975	0.016649	1.8908	1.8768	0.87292	0.88027	-0.13548	1.9507	3.248	1.7342	-0.008299	1.6945	-0.18643	0.32282	1.7332	0.35342	3.001	0.53179	1.843	0.43276	-0.30244	1.962	1.8576	2.7269	0.80593	0.47279	0.48314	0.30304	1.3348
Spg11	-0.003854	0.013764	1.7193	0.31171	2.5027	0.018639	0.32527	1.0306	-0.00038252	0.55493	-0.0086155	0.73256	0.84518	0.2944	-0.025073	-0.0093356	1.9494	1.095	1.5767	0.0054541	2.2968	2.2033	0.64805	-0.014999	2.9855	2.0726	0.40003	2.4086	0.59278	0.1179	-0.033012	0.14999	0.91154	3.1487	2.1548	-0.0020123	0.4308	1.1786	-0.022299	0.0018217	1.0225	-0.016206	3.1658	0.36374	0.47296	0.69817	0.1931	0.66749	3.1732	0.71546	2.9522	3.2902	3.667	-0.0047749	1.1102	0.084834	-0.007972	0.0019063	0.9075	-0.011032	-0.019977	1.2957	-0.0056804	0.0006302	-0.012145	2.1888	1.1686	0.41643	2.8435	0.013921	0.62659	0.57829	1.0441	2.8211	0.2572	0.31479	0.44019	1.9627	0.012156	0.0056191	-0.020301
Ctdspl2	2.7191	0.87246	3.2129	1.2635	2.3375	1.3556	1.596	2.1806	2.112	1.3282	1.6762	1.9284	2.2721	2.8582	1.5877	1.3777	3.0345	0.34282	1.5154	1.5729	2.3552	0.57995	1.6755	2.9609	1.8815	1.5865	2.585	2.6928	2.624	1.8957	0.53297	2.7333	2.1869	2.7429	1.6981	1.6293	2.4209	0.94544	2.5544	1.7476	2.5433	1.9872	1.7753	2.1991	2.4981	2.9933	1.4661	1.3946	2.8564	0.90676	0.62498	0.90457	1.2559	2.4134	2.0297	2.2343	1.6641	2.2037	2.163	2.7035	0.78646	1.7904	2.6352	1.4948	3.2672	1.428	2.4166	1.8377	0.78822	1.6201	0.67533	1.6427	1.7436	0.44119	0.28223	1.9559	1.7856	1.3318	0.69453	0.65044	2.3095
Terf2ip	1.1174	2.0759	2.6529	3.1478	0.2531	0.82547	0.6828	0.091129	3.015	1.061	0.80546	0.71471	0.45165	1.9459	-0.38994	3.1214	0.076861	1.1907	2.0112	0.39529	1.2323	1.1346	0.68078	-0.19217	1.9019	2.9102	-0.17079	1.25	0.31308	0.51824	0.79464	2.533	0.78191	0.39424	0.62322	0.32093	2.7861	2.6653	3.1186	0.78906	0.24939	2.6884	0.43593	0.38806	2.5837	0.99314	0.56631	2.7181	3.1678	2.597	1.6627	-0.26787	0.88651	3.1992	2.7013	0.62062	0.50068	0.49314	2.4315	0.82246	1.7209	0.36885	-0.009208	2.6698	2.2798	3.0006	-0.29915	0.38712	0.41319	0.77958	0.48875	0.52839	0.070417	3.5561	0.7619	2.4029	0.57095	0.56279	0.47479	0.572	1.4596
Specc1l	2.4856	0.60573	3.0804	2.5163	0.82563	0.75991	0.93705	1.0851	0.15833	0.12202	1.2089	0.75361	1.2046	0.22357	-0.62252	1.9547	0.12943	-0.082451	-0.19388	0.34292	2.4818	-0.19212	0.052315	1.2056	0.62347	1.666	-0.2695	1.7773	0.12667	0.63755	2.7712	0.41785	2.5795	0.8312	1.17	1.2564	1.2634	-0.16376	2.903	0.60591	2.4667	0.20581	-0.62082	2.0523	0.30098	0.41358	2.7511	1.7405	0.18815	-0.032621	2.411	-0.42588	2.4512	1.9988	0.80693	0.93804	1.6413	0.38241	-0.15519	-0.17845	2.714	0.79721	-0.0092122	3.2036	3.3014	0.82051	2.2787	0.7247	3.4318	2.5209	1.2109	0.49703	2.7627	3.1259	0.22668	-0.1114	0.92534	0.54298	0.55486	0.34814	2.5213
Tagap	1.2096	0.82126	2.895	0.82218	2.9063	1.434	1.4055	0.62364	0.69096	0.52745	-0.13933	1.6095	3.0159	0.5953	1.3259	0.16783	1.5446	0.79268	1.8143	3.8361	1.6319	2.7134	0.40424	3.04	0.98523	2.6974	0.77489	2.7638	0.95883	2.1767	1.729	3.4119	1.1095	3.1623	2.7346	2.9535	2.0519	1.7806	1.5128	0.7976	-0.63602	0.81052	2.7026	1.1396	1.8442	0.72759	0.24311	0.34437	1.6048	1.2056	2.4459	1.8594	0.7628	2.8245	1.9126	1.5756	0.51541	0.73981	2.5789	3.1592	3.0982	1.0391	3.015	0.66266	1.7272	3.4306	0.41332	1.0666	2.9996	0.82799	2.006	3.5697	3.0206	2.8135	0.56223	3.1578	2.0412	1.8476	1.1408	0.68727	-0.28836
Zbtb1	1.9792	1.4957	2.4634	2.369	2.9357	1.2462	3.2923	2.8212	0.88138	0.4743	3.061	2.5307	1.1351	1.6091	3.0802	2.8378	1.172	1.2798	3.3367	1.2713	0.57261	2.5093	3.4292	2.7021	1.4783	1.8824	1.296	2.8207	1.9905	1.5076	2.1515	1.6542	1.7442	2.4582	2.8272	3.2772	2.866	2.5203	1.7245	1.5312	3.1541	1.3124	2.2387	3.6205	1.0773	2.2037	1.9985	1.3244	0.96643	0.77021	3.2871	1.6454	1.4153	1.4853	1.4575	1.2467	1.7449	1.5304	0.20197	3.5137	2.7481	0.63915	2.8299	0.21952	1.5092	0.71196	2.6955	2.4322	3.4825	0.99691	2.2376	1.8352	0.56931	2.7879	3.7231	1.0863	2.1242	3.3974	3.0941	0.62061	2.1076
Cysltr2	0.44155	4.0254	1.8156	3.669	0.69841	0.61526	1.9073	3.5202	3.3748	2.9916	3.3345	0.82205	2.4877	3.6175	3.5058	0.81491	3.2465	1.5423	0.38058	0.72617	0.75092	0.83779	0.54937	0.53024	1.005	1.8876	2.9103	3.3977	2.4414	1.1186	1.8934	2.9186	2.0774	2.4955	2.7596	4.2507	3.4083	0.79309	2.5993	1.4001	1.9862	1.0315	2.0997	2.2017	0.52808	1.8203	1.1971	0.66486	2.9343	2.5593	2.6181	2.3307	1.1598	1.5874	3.0519	1.4986	1.6248	1.2447	2.5694	3.1524	3.1752	3.229	2.5015	3.0882	3.4755	2.9913	-0.33677	0.48232	2.0289	3.1374	1.0206	0.33522	2.9236	0.068705	1.3626	1.2844	0.81703	3.5045	2.7881	3.8034	2.9521
Fndc3a	2.9503	3.999	1.4736	3.9401	3.3639	1.5493	3.4163	3.1465	3.4089	3.1053	1.6559	1.6431	2.3461	3.6019	2.8999	2.1639	3.8307	2.6138	2.8691	1.3233	2.24	2.0733	3.5261	2.8069	3.3093	1.9208	2.8313	3.2668	1.3054	1.4422	3.2733	1.7775	1.0737	2.3122	2.5565	3.5558	1.9051	1.1451	3.0885	2.5648	2.9574	2.2913	2.5798	3.2661	2.9738	2.0059	1.6561	2.8341	2.3455	2.6348	3.3713	2.828	2.5162	2.6416	3.2319	2.227	1.704	2.4794	3.1978	3.7828	2.0628	1.8332	2.7757	4.1366	3.4092	3.97	2.6055	3.2441	1.0992	3.9631	3.1966	2.7397	2.0801	0.81774	3.7966	3.2048	1.9595	2.9762	3.6219	3.2952	2.4287
BC026585	-0.0004399	-0.0004399	-0.0004399	-0.0004399	3.5028	-0.0004399	-0.0004399	0.38936	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	0.33763	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	1.057	0.14172	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399	0.32327	-0.0004399	-0.0004399	-0.0004399	-0.0004399	-0.0004399
Larp4b	2.3231	3.8012	3.3509	1.2683	3.184	2.086	2.4185	2.8199	3.7404	3.0214	3.1902	2.4481	3.2055	1.6952	2.8539	3.0908	3.3618	2.3068	3.1682	2.7738	0.49526	2.5391	3.6369	2.0113	3.4484	2.5599	2.7066	3.3048	2.4738	2.7992	2.8677	3.4435	3.5592	1.9249	2.9705	1.5464	2.5305	3.0246	2.6956	3.3115	2.4513	2.4339	2.6928	2.452	2.7855	1.6746	2.9075	2.6787	2.6857	2.9557	3.3993	2.8075	1.8851	2.9477	2.6127	2.0471	2.8319	1.0763	3.1657	3.7316	3.0094	3.4444	2.5899	2.9687	2.0428	3.8046	2.875	3.5885	2.8849	4.4765	3.058	2.1546	3.125	1.3745	2.5637	1.923	2.8414	2.1372	1.1968	2.1103	2.1695
